date,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
1606266000,4,494,0,2.25,63.66,1.27,26.52,28.35,1
1606269600,3,487.33,0.03,3.9,62.94,1.4,24.34,26.35,0.93
1606273200,4,480.65,0.2,4.63,67.23,1.52,26.02,28.23,0.71
1606276800,4,440.6,0.18,2.61,85.12,1.61,30.6,32.67,0.3
1606280400,4,427.25,0.16,1.99,90.12,1.61,35.06,37.29,0.59
1606284000,4,413.9,0.13,1.56,98.71,1.52,41.36,43.87,0.84
1606287600,4,367.17,0.12,1.07,98.71,1.3,42,44.58,0.83
1606291200,4,323.77,0.11,1.05,89.41,1.06,32.71,34.97,0.9
1606294800,4,310.42,0.1,1.22,87.26,1,25.39,27.37,1.05
1606298400,3,313.76,0.08,1.99,87.98,1.03,23.58,25.6,1.43
1606302000,4,340.46,0.08,3.47,91.55,1.16,29.36,31.96,2.12
1606305600,4,367.17,0.03,5.23,95.84,1.31,39.65,43.02,2.72
1606309200,4,383.85,0,5.83,98.71,1.45,47.46,51.36,3.23
1606312800,4,380.52,0,5.66,94.41,1.52,47.75,51.83,3.64
1606316400,4,370.5,0,5.57,85.12,1.52,45.08,49.23,3.93
1606320000,4,357.15,0,5.48,74.39,1.43,40.13,44.21,4.05
1606323600,4,347.14,0,5.4,65.09,1.3,31.64,35.34,3.74
1606327200,3,333.79,0,5.01,60.08,1.16,21.66,24.58,3.14
1606330800,2,327.11,0,4.03,60.8,1.15,13.89,15.84,2.34
1606334400,1,337.12,0,2.83,67.95,1.25,9.09,10.33,1.79
1606338000,1,350.48,0,1.91,77.25,1.27,6.16,6.95,1.41
1606341600,2,360.49,0,1.31,85.12,1.21,4.26,4.73,1.12
1606345200,2,363.83,0,1.04,88.69,1.07,3.77,4.18,1.01
1606348800,2,363.83,0,0.99,87.26,0.86,4.11,4.54,0.99
1606352400,2,363.83,0,1.3,82.97,0.66,4.79,5.35,1.05
1606356000,1,360.49,0.01,2.23,77.96,0.6,5.54,6.33,1.12
1606359600,1,360.49,0.04,3.13,74.39,0.72,6.58,7.58,1.24
1606363200,1,357.15,0.06,3.17,72.24,0.94,7.74,8.74,1.3
1606366800,1,360.49,0.06,3.34,68.67,1.3,8.21,9.19,1.41
1606370400,1,363.83,0.05,3.47,65.8,1.55,7.98,8.9,1.52
1606374000,1,370.5,0.04,3.73,62.94,1.67,8.05,8.87,1.54
1606377600,1,373.84,0.02,3.9,61.51,1.62,8.38,9.16,1.57
1606381200,1,373.84,0.01,3.9,60.8,1.42,9.18,9.93,1.66
1606384800,2,390.53,0.01,5.23,54.36,1.25,10.49,11.4,1.85
1606388400,2,417.23,0.01,8.05,42.92,1.18,12.02,13.27,1.87
1606392000,2,453.95,0.01,11.31,32.19,1.22,13.87,15.45,1.76
1606395600,2,473.98,0.01,12.51,25.75,1.37,16.65,18.58,1.77
1606399200,2,487.33,0.02,12.17,22.17,1.67,19.31,21.64,1.68
1606402800,3,480.65,0.02,10.45,21.1,2.15,20.83,23.37,1.46
1606406400,3,460.63,0.01,8.82,21.64,2.92,22.34,24.91,1.3
1606410000,3,433.92,0.01,8.05,23.6,3.99,24.75,27.24,1.08
1606413600,4,413.9,0,7.45,27.18,4.47,26.7,28.74,0.88
1606417200,4,403.88,0,6.34,31.83,3.99,27.16,28.62,0.76
1606420800,4,410.56,0,5.57,31.83,3.19,27.09,28.46,0.94
1606424400,4,413.9,0,4.97,31.47,3.07,26,27.24,1.03
1606428000,3,410.56,0,4.24,30.76,2.74,24.57,25.77,1.08
1606431600,3,400.54,0,3.51,29.33,2.06,24.16,25.39,1.19
1606435200,3,390.53,0,3.17,28.61,1.52,24.28,25.56,1.31
1606438800,3,393.87,0.01,3.9,27.54,1.24,24.76,26.43,1.41
1606442400,3,407.22,0.13,5.91,27.18,1.18,24.75,27.06,1.39
1606446000,3,413.9,0.89,5.57,33.62,1.06,23.58,26,1.44
1606449600,3,383.85,0.68,2.91,50.07,0.85,21.58,23.44,1.68
1606453200,3,370.5,0.41,1.93,61.51,1,21.46,23.14,2.06
1606456800,3,353.81,0.25,1.32,72.96,1.64,21.83,23.35,2.31
1606460400,2,330.45,0.18,0.92,78.68,1.83,17.55,18.65,1.85
