date,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
1606266000,4,500.68,0,4.03,52.21,1.57,30.79,33.72,2.22
1606269600,4,500.68,0.03,6.08,52.93,1.74,33.78,37.26,2
1606273200,4,487.33,0.27,7.37,60.8,1.91,38.24,41.99,1.69
1606276800,4,433.92,0.27,3.9,85.12,2,45.04,48.31,0.65
1606280400,5,417.23,0.24,2.7,98.71,2.09,52.81,56.6,0.78
1606284000,5,400.54,0.19,1.59,113.01,2.12,55.76,59.96,0.86
1606287600,4,350.48,0.11,0.94,107.29,1.62,37.37,40.42,0.71
1606291200,4,320.44,0.09,0.92,100.14,1.33,25.99,28.34,0.81
1606294800,3,310.42,0.09,1.09,103,1.24,22.04,24.15,0.96
1606298400,3,307.08,0.07,1.54,107.29,1.19,23.72,26.03,1.22
1606302000,4,310.42,0.04,2.46,105.86,1.16,26.44,29.05,1.69
1606305600,3,303.75,0.01,3.47,97.28,1.12,23.63,26.1,2.19
1606309200,2,300.41,0,4.76,82.97,1.13,18.62,20.84,3.04
1606312800,2,307.08,0,5.4,72.96,1.21,16.14,18.41,3.9
1606316400,2,313.76,0,5.27,69.38,1.21,14.28,16.65,4.24
1606320000,2,323.77,0,4.8,68.67,1.19,10.59,12.72,4.12
1606323600,1,330.45,0,4.28,70.81,1.25,6.54,8.19,3.52
1606327200,1,340.46,0,3.9,75.82,1.39,4.91,6.15,2.79
1606330800,2,357.15,0,3.3,81.54,1.51,5.08,6.04,2.19
1606334400,2,373.84,0,2.44,87.98,1.64,6.5,7.37,1.79
1606338000,2,383.85,0,1.71,92.98,1.64,7.93,8.68,1.52
1606341600,2,383.85,0,1.19,95.84,1.37,8.38,8.86,1.16
1606345200,2,380.52,0,1.03,97.28,1.15,7.74,8.05,0.97
1606348800,2,377.18,0,1.01,95.84,0.98,7.35,7.62,0.93
1606352400,2,370.5,0,1.22,92.98,0.84,7.4,7.76,1
1606356000,2,367.17,0,1.91,86.55,0.76,8.08,8.67,1.2
1606359600,2,363.83,0.02,2.66,80.82,0.69,8.8,9.6,1.47
1606363200,1,360.49,0.04,2.87,78.68,0.63,9.15,10.09,1.73
1606366800,1,360.49,0.06,2.68,77.25,0.63,9.6,10.53,1.82
1606370400,1,363.83,0.06,2.21,75.1,0.64,9.85,10.59,1.74
1606374000,1,367.17,0.07,1.71,71.53,0.61,8.92,9.44,1.52
1606377600,1,367.17,0.06,1.78,67.23,0.59,8.48,8.89,1.46
1606381200,1,370.5,0.06,1.97,64.37,0.55,9.09,9.5,1.52
1606384800,2,380.52,0.04,2.83,60.08,0.6,10.5,11.01,1.84
1606388400,2,393.87,0.03,4.11,57.22,0.67,12.48,13.14,2.06
1606392000,2,410.56,0.01,5.57,54.36,0.75,14.85,15.63,2
1606395600,2,427.25,0,7.03,50.78,0.87,17.41,18.45,2
1606399200,2,453.95,0,8.4,45.06,1.1,19.19,20.74,2.22
1606402800,2,460.63,0,8.57,40.05,1.34,19.97,21.92,2.34
1606406400,2,460.63,0,8.23,35.76,1.67,19.48,21.68,2.41
1606410000,3,453.95,0,8.31,32.9,2.5,20.13,22.47,2.28
1606413600,3,440.6,0,8.74,31.11,3.99,22.77,24.98,1.85
1606417200,3,420.57,0,8.65,31.47,5.42,24.46,26.07,1.39
1606420800,3,410.56,0,8.05,31.47,5.19,23.39,24.59,1.35
1606424400,3,413.9,0,7.28,32.54,4.59,21.6,22.56,1.31
1606428000,3,413.9,0,6.43,33.98,4.23,23.7,24.65,1.2
1606431600,4,417.23,0,5.74,34.69,3.79,27.11,28.2,1.31
1606435200,4,413.9,0,5.06,36.84,3.31,28.71,29.94,1.44
1606438800,4,410.56,0,4.97,38.62,2.83,29.05,30.6,1.73
1606442400,4,417.23,0.09,5.91,38.62,2.59,28.94,31.07,1.9
1606446000,4,423.91,0.84,5.66,41.49,2.33,28.7,31.19,1.93
1606449600,3,390.53,0.71,3.04,55.08,2,24.12,25.93,1.52
1606453200,3,380.52,0.45,2.1,65.8,2,23.38,25.14,1.88
1606456800,3,373.84,0.28,1.46,77.96,2.27,23.56,25.25,2.28
1606460400,2,343.8,0.17,0.84,82.25,2.06,16.6,17.69,1.82
1606464000,2,323.77,0.14,0.73,85.83,2.24,13.5,14.33,1.55
1606467600,2,327.11,0.14,0.88,92.98,3.49,16.16,16.97,1.47
1606471200,3,343.8,0.17,1.29,98.71,4.83,20,20.88,1.55
1606474800,3,360.49,0.21,2.23,101.57,5.96,23.4,24.49,1.95
1606478400,4,377.18,0.13,4.16,95.84,7.87,26.01,27.33,2.34
1606482000,4,397.21,0,7.2,80.11,9.54,27.5,29.13,2.95
1606485600,4,417.23,0,9.6,62.94,9.89,28.93,30.88,3.39
1606489200,4,427.25,0,10.45,54.36,9.3,31.27,33.5,3.14
1606492800,4,433.92,0,10.63,49.35,8.35,33.97,36.43,2.72
1606496400,4,433.92,0,10.63,45.42,7.21,35.66,38.41,2.57
1606500000,4,433.92,0,10.03,42.56,6.02,35.97,38.68,2.53
1606503600,4,433.92,0,8.91,39.34,4.53,35.46,37.94,2.6
1606507200,4,427.25,0,7.63,35.41,3.13,35.43,37.68,2.79
1606510800,4,423.91,0,6.51,32.54,2.35,35.41,37.37,3.1
1606514400,4,423.91,0,5.91,28.61,1.77,35.78,37.68,3.67
1606518000,4,427.25,0.01,5.74,23.96,1.34,36.48,38.38,4.43
1606521600,4,433.92,0.02,6.08,20.03,1.21,37.64,39.6,5.32
1606525200,4,453.95,0.08,7.54,16.81,1.34,39.73,42.18,5.83
1606528800,4,494,0.42,10.45,14.31,1.73,41.99,45.69,4.69
