date,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
1606266000,5,380.52,0,1.25,133.04,3.34,65.05,72.07,0
1606269600,5,357.15,0,2.16,124.45,4.23,61.01,68.35,0
1606273200,5,333.79,0,3.09,115.87,5.25,53.06,60.16,0
1606276800,4,303.75,0.01,2.7,107.29,5.01,39.68,44.97,0
1606280400,4,310.42,0.01,2.55,103,5.25,35.1,39.1,0
1606284000,4,320.44,0.02,2.83,103,5.84,31.4,34.1,0.1
1606287600,4,320.44,0.03,3.34,104.43,6.5,27.59,29.41,0.21
1606291200,3,327.11,0.03,3.9,107.29,7.21,23.58,24.77,0.28
1606294800,3,337.12,0.03,4.41,108.72,8.23,20.93,21.76,0.33
1606298400,3,357.15,0.02,5.4,108.72,10.01,20.31,20.94,0.35
1606302000,3,380.52,0.01,6.86,103,12.52,21.18,21.77,0.41
1606305600,2,403.88,0,7.54,95.84,13.71,19.04,19.62,0.44
1606309200,2,423.91,0,7.28,90.84,13.95,17.79,18.36,0.38
1606312800,3,447.27,0,6.6,87.98,13.47,20.2,20.76,0.28
1606316400,4,453.95,0,5.57,91.55,11.92,31.03,31.56,0.23
1606320000,4,427.25,0,3.77,98.71,8.35,38.12,38.53,0.22
1606323600,4,423.91,0,2.55,101.57,5.48,34.01,34.34,0.27
1606327200,4,440.6,0,2.1,100.14,4.77,32.78,33.02,0.28
1606330800,4,460.63,0,1.91,95.84,4.95,33.38,33.54,0.27
1606334400,4,467.3,0,1.71,91.55,4.89,39.16,39.28,0.29
1606338000,4,460.63,0,1.56,87.98,4.23,48.74,48.85,0.3
1606341600,4,440.6,0,1.36,86.55,3.13,45.46,45.56,0.31
1606345200,4,427.25,0,1.18,85.12,2.35,37.17,37.26,0.31
1606348800,4,427.25,0,1.15,83.69,2.06,33.3,33.4,0.31
1606352400,4,440.6,0,1.3,81.54,1.86,31.2,31.32,0.29
1606356000,4,460.63,0,1.67,80.82,1.51,29.47,29.68,0.34
1606359600,4,460.63,0,2.1,80.11,1.19,32.58,32.85,0.38
1606363200,4,460.63,0.01,2.21,77.25,1.06,38.93,39.23,0.4
1606366800,4,460.63,0.01,2.25,72.96,1.13,42.43,42.73,0.4
1606370400,4,467.3,0.02,2.44,68.67,1.19,42.38,42.66,0.39
1606374000,4,467.3,0.03,2.72,67.23,1.25,43.2,43.44,0.37
1606377600,4,467.3,0.03,2.83,69.38,1.13,41.79,42,0.33
1606381200,4,447.27,0.04,2.64,70.81,0.93,35.62,35.79,0.31
1606384800,4,427.25,0.08,2.46,70.81,0.87,30.51,30.68,0.31
1606388400,4,420.57,0.04,2.83,70.81,0.89,27.8,28,0.35
1606392000,4,423.91,0.01,3.34,70.1,0.88,25.7,25.94,0.4
1606395600,3,423.91,0,3.64,70.1,0.86,24.12,24.42,0.46
1606399200,3,417.23,0,3.64,68.67,0.84,23.25,23.63,0.52
1606402800,3,410.56,0,3.43,67.23,0.77,23.28,23.7,0.55
1606406400,3,410.56,0,3.21,65.8,0.72,23.35,23.78,0.57
1606410000,3,410.56,0,3.09,64.37,0.65,22.71,23.12,0.57
1606413600,3,403.88,0,2.87,62.94,0.58,21.53,21.84,0.55
1606417200,3,393.87,0,2.49,62.23,0.54,20.46,20.69,0.57
1606420800,3,393.87,0,2.21,62.94,0.56,20.77,21.01,0.64
1606424400,3,397.21,0,2.14,62.23,0.68,22.72,23,0.71
1606428000,3,397.21,0,2.51,59.37,1.46,24.08,24.44,0.77
1606431600,4,400.54,0,3.56,54.36,3.87,26.37,26.85,0.76
1606435200,4,403.88,0,4.88,49.35,6.74,29.94,30.55,0.69
1606438800,4,407.22,0,6.08,44.7,8.23,30.7,31.5,0.7
1606442400,4,413.9,0.04,7.63,40.41,9.06,28.63,29.55,0.69
1606446000,4,417.23,0.48,8.65,36.84,9.06,29.44,30.47,0.73
1606449600,4,410.56,0.66,8.31,35.41,7.57,26.8,27.68,0.78
1606453200,3,403.88,0.45,7.28,35.76,5.42,23.32,24.03,0.78
1606456800,3,397.21,0.26,6.51,36.12,3.87,21.71,22.28,0.75
1606460400,3,393.87,0.2,5.48,36.84,2.86,20.49,20.92,0.67
1606464000,3,397.21,0.2,5.36,35.76,2.38,22.21,22.62,0.7
1606467600,3,400.54,0.23,5.36,34.69,1.97,24.26,24.69,0.74
1606471200,4,407.22,0.22,5.57,33.26,1.62,26.37,26.9,0.87
1606474800,4,417.23,0.12,6.08,32.9,1.39,27.23,27.9,1
1606478400,4,423.91,0.03,6.68,33.98,1.25,26.77,27.53,1.06
1606482000,4,433.92,0,7.54,33.26,1.28,27.65,28.58,1.17
1606485600,4,447.27,0,8.14,31.47,1.46,30.26,31.5,1.35
1606489200,4,460.63,0,8.4,31.11,1.67,33.12,34.62,1.46
1606492800,4,487.33,0.01,9.94,26.11,1.83,36.51,39.08,2.09
1606496400,4,534.06,0.03,12,18.6,1.91,39.97,44.22,3.07
1606500000,4,560.76,0.08,13.37,13.59,1.86,42.55,47.68,4.05
1606503600,4,567.44,0.07,13.2,11.27,1.71,43.98,48.58,4.81
