date,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
1606266000,5,961.3,0.62,20.22,9.39,4.77,61.7,74.83,8.11
1606269600,5,1161.58,5.31,28.79,2.06,5.9,64.99,81.95,6.21
1606273200,5,1295.09,11.4,35.99,2.95,6.86,60.18,77.58,6.9
1606276800,4,547.41,0.19,12,75.82,6.8,36.06,40.9,2.06
1606280400,4,467.3,0.12,8.05,89.41,6.38,45.36,50.12,1.79
1606284000,5,453.95,0.08,7.45,97.28,6.56,53.6,58.91,1.84
1606287600,5,433.92,0.16,6.86,105.86,6.38,50.88,55.86,1.85
1606291200,4,403.88,0.14,5.91,110.15,5.78,36.1,39.91,1.84
1606294800,2,367.17,0.12,5.4,105.86,5.25,19.81,22.37,1.85
1606298400,2,340.46,0.07,6.08,95.84,5.25,11.14,13.14,2.15
1606302000,2,337.12,0.03,7.71,83.69,5.31,8.5,10.54,2.76
1606305600,1,350.48,0.01,9.08,75.1,5.01,8.56,10.87,3.23
1606309200,1,383.85,0,11.14,69.38,5.36,9.9,12.78,4.05
1606312800,2,413.9,0,12.51,65.09,5.84,11.24,14.79,5.13
1606316400,2,433.92,0,12.68,63.66,5.96,12.43,16.5,5.95
1606320000,2,447.27,0,12,64.37,5.78,13.13,17.55,6.4
1606323600,2,460.63,0,11.65,66.52,5.54,13.41,18.07,6.21
1606327200,2,467.3,0,11.31,69.38,5.25,12.65,16.94,5.32
1606330800,2,447.27,0,10.11,72.24,4.59,10.34,13.59,4.31
1606334400,1,420.57,0,7.71,77.96,3.99,7.86,10.17,3.55
1606338000,2,407.22,0,5.27,83.69,3.46,6.29,7.9,2.82
1606341600,2,397.21,0,3.26,90.12,3.01,5.45,6.41,2
1606345200,2,397.21,0,2.59,90.12,2.71,5.75,6.52,1.77
1606348800,2,397.21,0,2.53,89.41,2.53,6.52,7.26,1.73
1606352400,2,403.88,0,3.34,87.98,2.71,6.95,7.93,1.93
1606356000,2,423.91,0,5.48,84.4,3.31,6.86,8.34,2.31
1606359600,1,440.6,0.01,7.97,79.39,3.87,6.8,8.58,2.57
1606363200,1,433.92,0.06,8.74,74.39,4.35,7.54,9.39,2.6
1606366800,1,427.25,0.14,8.14,72.96,4.23,9.28,11.14,2.69
1606370400,2,420.57,0.22,6.6,74.39,3.49,10.83,12.55,2.79
1606374000,2,413.9,0.27,5.06,76.53,2.5,11.4,12.7,2.57
1606377600,2,413.9,0.15,5.18,74.39,2.35,11.22,12.27,2.44
1606381200,2,417.23,0.07,5.91,69.38,2.59,10.51,11.45,2.38
